variable,areaName,Borough,areaType,value
2010-02-01,South Jamaica,Queens,neighborhood,7
2010-02-01,South Ozone Park,Queens,neighborhood,1
2010-02-01,South Queens,Queens,submarket,74
2010-02-01,South Richmond Hill,Queens,neighborhood,2
2010-02-01,Springfield Gardens,Queens,neighborhood,2
2010-02-01,St. Albans,Queens,neighborhood,12
2010-02-01,Staten Island,Staten Island,borough,51
2010-02-01,Stuyvesant Town/PCV,Manhattan,neighborhood,0
2010-02-01,Sunnyside,Queens,neighborhood,14
2010-02-01,Sunset Park,Brooklyn,neighborhood,39
2010-02-01,The Rockaways,Queens,submarket,34
2010-02-01,Throgs Neck,Bronx,neighborhood,7
2010-02-01,Tremont,Bronx,neighborhood,3
2010-02-01,Tribeca,Manhattan,neighborhood,347
2010-02-01,University Heights,Bronx,neighborhood,17
2010-02-01,Upper East Side,Manhattan,neighborhood,2296
2010-02-01,Upper West Side,Manhattan,neighborhood,1454
2010-02-01,Utopia,Queens,neighborhood,3
2010-02-01,Van Nest,Bronx,neighborhood,1
2010-02-01,Wakefield,Bronx,neighborhood,3
2010-02-01,Washington Heights,Manhattan,neighborhood,240
2010-02-01,West Harlem,Manhattan,neighborhood,12
2010-02-01,West Village,Manhattan,neighborhood,220
2010-02-01,Westchester Village,Bronx,neighborhood,1
2010-02-01,Whitestone,Queens,neighborhood,15
2010-02-01,Williamsbridge,Bronx,neighborhood,4
2010-02-01,Williamsburg,Brooklyn,neighborhood,475
2010-02-01,Windsor Terrace,Brooklyn,neighborhood,43
2010-02-01,Woodhaven,Queens,neighborhood,7
2010-02-01,Woodlawn,Bronx,neighborhood,1
2010-02-01,Woodside,Queens,neighborhood,21
2010-02-01,Woodstock,Bronx,neighborhood,1
2010-03-01,All Downtown,Manhattan,submarket,3105
2010-03-01,All Midtown,Manhattan,submarket,2502
2010-03-01,All Upper East Side,Manhattan,submarket,2463
2010-03-01,All Upper Manhattan,Manhattan,submarket,1249
2010-03-01,All Upper West Side,Manhattan,submarket,1532
2010-03-01,Astoria,Queens,neighborhood,174
2010-03-01,Auburndale,Queens,neighborhood,5
2010-03-01,Bath Beach,Brooklyn,neighborhood,6
2010-03-01,Battery Park City,Manhattan,neighborhood,168
2010-03-01,Bay Ridge,Brooklyn,neighborhood,62
2010-03-01,Baychester,Bronx,neighborhood,1
2010-03-01,Bayside,Queens,neighborhood,32
2010-03-01,Bedford Park,Bronx,neighborhood,4
2010-03-01,Bedford-Stuyvesant,Brooklyn,neighborhood,156
2010-03-01,Bellerose,Queens,neighborhood,1
2010-03-01,Belmont,Bronx,neighborhood,1
2010-03-01,Bensonhurst,Brooklyn,neighborhood,9
2010-03-01,Bergen Beach,Brooklyn,neighborhood,18
2010-03-01,Boerum Hill,Brooklyn,neighborhood,49
2010-03-01,Borough Park,Brooklyn,neighborhood,5
2010-03-01,Briarwood,Queens,neighborhood,40
2010-03-01,Brighton Beach,Brooklyn,neighborhood,37
2010-03-01,Bronx,Bronx,borough,632
2010-03-01,Bronxwood,Bronx,neighborhood,4
2010-03-01,Brooklyn,Brooklyn,borough,3425
2010-03-01,Brooklyn Heights,Brooklyn,neighborhood,207
2010-03-01,Brookville,Queens,neighborhood,2
2010-03-01,Brownsville,Brooklyn,neighborhood,3
2010-03-01,Bushwick,Brooklyn,neighborhood,42
2010-03-01,Cambria Heights,Queens,neighborhood,0
2010-03-01,Canarsie,Brooklyn,neighborhood,55
2010-03-01,Carroll Gardens,Brooklyn,neighborhood,68
2010-03-01,Castle Hill,Bronx,neighborhood,2
2010-03-01,Central Harlem,Manhattan,neighborhood,635
2010-03-01,Central Park South,Manhattan,neighborhood,123
2010-03-01,Central Queens,Queens,submarket,221
2010-03-01,Chelsea,Manhattan,neighborhood,537
2010-03-01,Chinatown,Manhattan,neighborhood,11
2010-03-01,City Island,Bronx,neighborhood,1
2010-03-01,Civic Center,Manhattan,neighborhood,15
2010-03-01,Clearview,Queens,neighborhood,1
2010-03-01,Clinton Hill,Brooklyn,neighborhood,104
2010-03-01,Co-op City,Bronx,neighborhood,0
